26900,PST,'RESERVOIR ELEVATION (feet)'
20140813,0000,1556.19
20140814,0000,1556.15
20140815,0000,1556.14
20140816,0000,1556.18
20140817,0000,1556.18
20140818,0000,1556.17
20140819,0000,1556.18
20140820,0000,1556.23
20140821,0000,1556.20
20140822,0000,1556.27
20140823,0000,1556.26
20140824,0000,1556.28
20140825,0000,1556.24
20140826,0000,1556.19
20140827,0000,1556.17
20140828,0000,1556.18
20140829,0000,1556.17
20140830,0000,1556.20
20140831,0000,1556.13
20140901,0000,1556.14
20140902,0000,1556.12
20140903,0000,1555.97
20140904,0000,1555.93
20140905,0000,1555.76
20140906,0000,1555.63
20140907,0000,1555.40
20140908,0000,1555.32
20140909,0000,1555.17
20140910,0000,1555.06
20140911,0000,1554.95
20140912,0000,1554.79
20140913,0000,1554.60
20140914,0000,1554.41
20140915,0000,1554.33
20140916,0000,1554.07
20140917,0000,1553.95
20140918,0000,1553.78
20140919,0000,1553.63
20140920,0000,1553.49
20140921,0000,1553.35
20140922,0000,1553.23
20140923,0000,1553.08
20140924,0000,1552.94
20140925,0000,1552.81
20140926,0000,1552.63
20140927,0000,1552.49
20140928,0000,1552.29
20140929,0000,1552.15
20140930,0000,1552.09
20141001,0000,1551.92
20141002,0000,1551.74
20141003,0000,1551.62
20141004,0000,1551.53
20141005,0000,1551.36
20141006,0000,1551.18
20141007,0000,1550.98
20141008,0000,1550.91
20141009,0000,1550.82
20141010,0000,1550.67
20141011,0000,1550.51
20141012,0000,1550.36
20141013,0000,1550.19
20141014,0000,1550.06
20141015,0000,1549.98
20141016,0000,1549.87
20141017,0000,1549.73
20141018,0000,1549.64
20141019,0000,1549.51
20141020,0000,1549.37
20141021,0000,1549.32
20141022,0000,1549.34
20141023,0000,1549.33
20141024,0000,1549.34
20141025,0000,1549.31
20141026,0000,1549.36
20141027,0000,1549.36
20141028,0000,1549.39
20141029,0000,1549.39
20141030,0000,1549.42
20141031,0000,1549.36
20141101,0000,1549.24
20141102,0000,1549.19
20141103,0000,1549.08
20141104,0000,1549.03
20141105,0000,1548.79
20141106,0000,1548.73
20141107,0000,1548.68
20141108,0000,1548.52
20141109,0000,1548.35
20141110,0000,1548.29
20141111,0000,1548.10
20141112,0000,1548.06
20141113,0000,1547.98
20141114,0000,1547.89
20141115,0000,1547.74
20141116,0000,1547.37
20141117,0000,1547.30
20141118,0000,1547.27
20141119,0000,1547.20
20141120,0000,1547.06
20141121,0000,1547.02
20141122,0000,1546.96
20141123,0000,1546.72
20141124,0000,1546.56
20141125,0000,1546.60
20141126,0000,1546.45
20141127,0000,1546.34
20141128,0000,1546.28
20141129,0000,1546.15
20141130,0000,1546.01
20141201,0000,1545.86
20141202,0000,1545.87
20141203,0000,1545.89
20141204,0000,1545.82
20141205,0000,1545.81
20141206,0000,1545.73
20141207,0000,1545.60
20141208,0000,1545.61
20141209,0000,1545.52
20141210,0000,1545.71
20141211,0000,1546.36
20141212,0000,1547.13
20141213,0000,1547.77
20141214,0000,1548.35
20141215,0000,1548.83
20141216,0000,1549.20
20141217,0000,1549.27
20141218,0000,1549.32
20141219,0000,1549.30
20141220,0000,1549.35
