Date,Storage (af),
Oct-01,161645,
Nov-01,155220,
Dec-01,164144,
Jan-02,162910,
Feb-02,164018,
Mar-02,167179,
Apr-02,162948,
May-02,157962,
Jun-02,160250,
Jul-02,158800,
Aug-02,159964,
Sep-02,164902,
Oct-02,162847,
Nov-02,162045,
Dec-02,165473,
Jan-03,164232,
Feb-03,164535,
Mar-03,160436,
Apr-03,161683,
May-03,161683,
Jun-03,165105,
Jul-03,158233,
Aug-03,164106,
Sep-03,165092,
Oct-03,168164,r
Nov-03,159245,r
Dec-03,158825,r
Jan-04,165295,
Feb-04,165688,
Mar-04,166413,
Apr-04,160934,
May-04,164510,
Jun-04,165232,
Jul-04,162321,
Aug-04,165790,
Sep-04,160971,
Oct-04,168164,
Nov-04,159245,
Dec-04,158825,
Jan-05,164586,
Feb-05,167409,
Mar-05,169553,
Apr-05,162647,
May-05,168703,
Jun-05,164371,
Jul-05,167242,
Aug-05,157802,
Sep-05,160212,
Oct-05,166808,
Nov-05,158739,
Dec-05,165777,
Jan-06,164056,
Feb-06,164333,
Mar-06,166108,
Apr-06,167012,
May-06,165409,
Jun-06,159097,
Jul-06,165676,
Aug-06,163753,
Sep-06,163350,
Oct-06,166987,
Nov-06,161196,
Dec-06,160039,
Jan-07,156906,
Feb-07,160797,
Mar-07,167792,
Apr-07,166770,
May-07,161345,
Jun-07,162408,
Jul-07,161183,
Aug-07,159060,
Sep-07,166159,
Oct-07,157581,
Nov-07,155354,
Dec-07,162973,
Jan-08,163640,
Feb-08,136402,
Mar-08,157409,
Apr-08,163300,
May-08,159728,
Jun-08,160784,
Jul-08,162283,
Aug-08,165892,
Sep-08,163489,
Oct-08,163224,
Nov-08,160859,
Dec-08,167639,
Jan-09,166070,
Feb-09,165498,
Mar-09,167716,
Apr-09,167741,
May-09,168780,
Jun-09,166528,
Jul-09,164839,
Aug-09,166604,
Sep-09,165930,
Oct-09,168151,
Nov-09,165460,
Dec-09,163338,
Jan-10,166770,
Feb-10,168190,
Mar-10,167754,
Apr-10,168575,
May-10,169927,
Jun-10,164308,
Jul-10,167025,
Aug-10,166184,
Sep-10,164308,
Oct-10,169992,
Nov-10,166439,
Dec-10,164321,
Jan-11,168446,
Feb-11,168408,
Mar-11,168074,
Apr-11,169411,
May-11,166350,
Jun-11,165574,
Jul-11,163703,
Aug-11,167908,
Sep-11,164144,
Oct-11,167985,
Nov-11,167588,
Dec-11,168459,
Jan-12,166923,
Feb-12,165955,
Mar-12,168446,
Apr-12,166630,
May-12,168061,
Jun-12,166566,
Jul-12,167345,
Aug-12,165156,
Sep-12,168819,
Oct-12,164030,
Nov-12,164283,
Dec-12,167908,
Jan-13,166210,
Feb-13,167153,
Mar-13,167153,
Apr-13,166847,
May-13,164321,
Jun-13,167882,
Jul-13,164839,
Aug-13,165676,
Sep-13,166961,
Oct-13,163866,
Nov-13,168138,
Dec-13,167383,
Jan-14,168267,
Feb-14,168780,
Mar-14,168408,
Apr-14,165181,
May-14,164624,
Jun-14,162747,
Jul-14,166120,
Aug-14,166949,
Sep-14,168036,
Oct-14,166604,
Nov-14,167396,
Dec-14,167869,
Jan-15,167856,
Feb-15,167972,
Mar-15,165663,
Apr-15,165320,
May-15,168010,
Jun-15,167972,
Jul-15,166719,
Aug-15,168511,
Sep-15,167639,
Oct-15,168755,
Nov-15,168254,
Dec-15,166987,
Jan-16,169154,
Feb-16,164498,
Mar-16,168036,
Apr-16,162333,
May-16,168203,
Jun-16,164700,
Jul-16,169205,
Aug-16,168408,
Sep-16,167191,
Oct-16,166426,
Nov-16,165815,
Dec-16,164649,
Jan-17,165320,
Feb-17,165092,
Mar-17,166426,
Apr-17,165587,
May-17,165701,
Jun-17,163791,
Jul-17,165981,
Aug-17,166949,
Sep-17,166655,
Oct-17,166235,
Nov-17,165676,
Dec-17,165143,
Jan-18,165701,
Feb-18,166197,
Mar-18,163866,
Apr-18,165917,
May-18,165219,
Jun-18,164978,
,,
