15625,PST,'RESERVOIR ELEVATION (feet)'
20080301,0000,2550.40
20080302,0000,2549.78
20080303,0000,2549.89
20080304,0000,2550.37
20080305,0000,2550.79
20080306,0000,2551.40
20080307,0000,2552.00
20080308,0000,2550.99
20080309,0000,2550.37
20080310,0000,2551.25
20080311,0000,2550.01
20080312,0000,2549.88
20080313,0000,2550.32
20080314,0000,2550.34
20080315,0000,2550.62
20080316,0000,2551.43
20080317,0000,2550.25
20080318,0000,2548.41
20080319,0000,2548.19
20080320,0000,2547.78
20080321,0000,2548.24
20080322,0000,2549.90
20080323,0000,2553.46
20080324,0000,2555.02
20080325,0000,2557.41
20080326,0000,2558.97
20080327,0000,2561.19
20080328,0000,2564.54
20080329,0000,2566.19
20080330,0000,2567.49
20080331,0000,2568.08
20080401,0000,2569.62
20080402,0000,2571.44
20080403,0000,2573.02
20080404,0000,2574.56
20080405,0000,2575.77
20080406,0000,2576.54
20080407,0000,2575.14
20080408,0000,2574.59
20080409,0000,2573.89
20080410,0000,2573.00
20080411,0000,2571.84
20080412,0000,2571.97
20080413,0000,2572.20
20080414,0000,2570.60
20080415,0000,2571.00
20080416,0000,2571.55
20080417,0000,2572.69
20080418,0000,2573.26
20080419,0000,2574.49
20080420,0000,2575.71
20080421,0000,2575.18
20080422,0000,2575.03
20080423,0000,2574.53
20080424,0000,2574.59
20080425,0000,2574.47
20080426,0000,2574.14
20080427,0000,2574.70
20080428,0000,2573.85
20080429,0000,2572.49
20080430,0000,2572.82
20080501,0000,2571.38
20080502,0000,2571.11
20080503,0000,2572.44
20080504,0000,2573.89
20080505,0000,2574.30
20080506,0000,2573.88
20080507,0000,2573.62
20080508,0000,2573.91
20080509,0000,2573.67
20080510,0000,2575.59
20080511,0000,2577.45
20080512,0000,2575.70
20080513,0000,2575.26
20080514,0000,2574.85
20080515,0000,2573.14
20080516,0000,2573.19
20080517,0000,2572.92
20080518,0000,2572.10
20080519,0000,2571.87
20080520,0000,2571.08
20080521,0000,2571.05
20080522,0000,2570.73
20080523,0000,2570.35
20080524,0000,2570.85
20080525,0000,2572.56
20080526,0000,2573.74
20080527,0000,2573.49
20080528,0000,2572.02
20080529,0000,2572.08
20080530,0000,2569.48
20080531,0000,2569.96
20080601,0000,2571.64
20080602,0000,2571.13
20080603,0000,2570.57
20080604,0000,2570.64
20080605,0000,2570.10
20080606,0000,2568.96
20080607,0000,2571.13
20080608,0000,2575.02
20080609,0000,2574.29
20080610,0000,2572.37
20080611,0000,2571.37
20080612,0000,2570.25
20080613,0000,2568.51
20080614,0000,2571.40
20080615,0000,2574.76
20080616,0000,2574.41
20080617,0000,2572.40
20080618,0000,2571.75
20080619,0000,2570.53
20080620,0000,2569.71
20080621,0000,2569.98
20080622,0000,2569.03
20080623,0000,2570.34
20080624,0000,2571.78
20080625,0000,2570.11
20080626,0000,2567.75
20080627,0000,2565.31
20080628,0000,2568.07
20080629,0000,2571.52
20080630,0000,2570.81
20080701,0000,2571.37
20080702,0000,2569.71
20080703,0000,2568.15
20080704,0000,2567.71
20080705,0000,2569.63
20080706,0000,2574.79
20080707,0000,2574.21
20080708,0000,2572.95
20080709,0000,2572.60
20080710,0000,2572.52
20080711,0000,2571.16
20080712,0000,2570.90
20080713,0000,2572.38
20080714,0000,2572.52
20080715,0000,2571.40
20080716,0000,2569.14
20080717,0000,2568.11
20080718,0000,2569.42
20080719,0000,2571.80
20080720,0000,2575.23
20080721,0000,2575.37
20080722,0000,2574.64
20080723,0000,2573.55
20080724,0000,2572.49
20080725,0000,2571.15
20080726,0000,2572.22
20080727,0000,2574.84
20080728,0000,2572.87
20080729,0000,2572.19
20080730,0000,2572.79
20080731,0000,2572.01
20080801,0000,2571.84
20080802,0000,2573.40
20080803,0000,2574.73
20080804,0000,2573.43
20080805,0000,2575.04
20080806,0000,2573.16
20080807,0000,2572.73
20080808,0000,2571.92
20080809,0000,2573.81
20080810,0000,2576.04
20080811,0000,2575.58
20080812,0000,2575.13
20080813,0000,2573.92
20080814,0000,2572.74
20080815,0000,2572.92
20080816,0000,2574.88
20080817,0000,2576.53
20080818,0000,2575.79
20080819,0000,2575.29
20080820,0000,2574.46
20080821,0000,2573.08
20080822,0000,2572.85
20080823,0000,2572.85
20080824,0000,2575.52
20080825,0000,2575.73
20080826,0000,2576.04
20080827,0000,2574.81
20080828,0000,2574.63
20080829,0000,2570.65
20080830,0000,2572.03
20080831,0000,2574.87
20080901,0000,2575.34
