30783,PST,'RESERVOIR ELEVATION (feet)'
20170525,0000,703.84
20170526,0000,703.84
20170527,0000,703.86
20170528,0000,703.88
20170529,0000,703.89
20170530,0000,703.89
20170531,0000,703.89
20170601,0000,703.90
20170602,0000,703.91
20170603,0000,703.91
20170604,0000,703.90
20170605,0000,703.92
20170606,0000,703.89
20170607,0000,703.86
20170608,0000,703.87
20170609,0000,703.86
20170610,0000,703.86
20170611,0000,703.85
20170612,0000,703.85
20170613,0000,703.80
20170614,0000,703.80
20170615,0000,703.80
20170616,0000,703.75
20170617,0000,703.75
20170618,0000,703.67
20170619,0000,703.61
20170620,0000,703.55
20170621,0000,703.50
20170622,0000,703.45
20170623,0000,703.36
20170624,0000,703.25
20170625,0000,703.20
20170626,0000,703.05
20170627,0000,702.95
20170628,0000,702.82
20170629,0000,702.72
20170630,0000,702.63
20170701,0000,702.55
20170702,0000,702.45
20170703,0000,702.36
20170704,0000,702.26
20170705,0000,702.17
20170706,0000,702.07
20170707,0000,701.98
20170708,0000,701.89
20170709,0000,701.81
20170710,0000,701.78
20170711,0000,701.76
20170712,0000,701.73
20170713,0000,701.72
20170714,0000,701.70
20170715,0000,701.69
20170716,0000,701.67
20170717,0000,701.63
20170718,0000,701.59
20170719,0000,701.57
20170720,0000,701.53
20170721,0000,701.26
20170722,0000,701.01
20170723,0000,700.95
20170724,0000,700.93
20170725,0000,700.91
20170726,0000,700.90
20170727,0000,700.88
20170728,0000,700.85
20170729,0000,700.83
20170730,0000,700.80
20170731,0000,700.79
20170801,0000,700.76
20170802,0000,700.72
20170803,0000,700.71
20170804,0000,700.68
20170805,0000,700.65
20170806,0000,700.63
20170807,0000,700.61
20170808,0000,700.59
20170809,0000,700.57
20170810,0000,700.56
20170811,0000,700.53
20170812,0000,700.51
20170813,0000,700.48
20170814,0000,700.46
20170815,0000,700.44
20170816,0000,700.43
20170817,0000,700.41
20170818,0000,700.40
20170819,0000,700.38
20170820,0000,700.38
20170821,0000,700.34
20170822,0000,700.32
20170823,0000,700.30
20170824,0000,700.28
20170825,0000,700.28
20170826,0000,700.25
20170827,0000,700.24
20170828,0000,700.22
20170829,0000,700.20
20170830,0000,700.17
20170831,0000,700.16
20170901,0000,700.14
20170902,0000,700.13
20170903,0000,700.11
20170904,0000,700.09
20170905,0000,700.08
