Date,Storage (af),
Oct-96,10534,
Nov-96,10528,
Dec-96,9647,
Jan-97,9321,
Feb-97,10174,
Mar-97,10935,
Apr-97,10534,
May-97,9818,
Jun-97,10558,
Jul-97,10825,
Aug-97,11225,
Sep-97,10716,
Oct-97,10874,
Nov-97,11305,
Dec-97,11951,
Jan-98,10607,
Feb-98,10275,
Mar-98,10468,
Apr-98,10783,
May-98,9712,
Jun-98,9391,
Jul-98,10601,
Aug-98,10198,
Sep-98,10520,
Oct-98,10825,
Nov-98,10637,
Dec-98,10311,
Jan-99,9765,
Feb-99,9906,
Mar-99,--,
Apr-99,10985,
May-99,11523,
Jun-99,--,
Jul-99,10462,
Aug-99,10670,
Sep-99,10540,
Oct-99,11237,
Nov-99,10485,
Dec-99,9333,
Jan-00,10673,
Feb-00,9205,
Mar-00,11126,
Apr-00,10607,
May-00,10607,
Jun-00,10299,
Jul-00,10132,
Aug-00,--,
Sep-00,11101,
Oct-00,10868,
Nov-00,10789,
Dec-00,10960,
Jan-01,10869,
Feb-01,--,
Mar-01,--,
Apr-01,--,
May-01,--,
Jun-01,--,
Jul-01,--,
Aug-01,--,
Sep-01,--,
Oct-01,--,
Nov-01,--,
Dec-01,--,
Jan-02,--,
Feb-02,11664,
Mar-02,10985,
Apr-02,10887,
May-02,10936,
Jun-02,11225,
Jul-02,10582,
Aug-02,10813,
Sep-02,11120,
Oct-02,11330,
Nov-02,10972,
Dec-02,11287,
Jan-03,11392,
Feb-03,10832,
Mar-03,10783,
Apr-03,11206,
May-03,10613,
Jun-03,10474,
Jul-03,10468,
Aug-03,10960,
Sep-03,11009,
Oct-03,10168,
Nov-03,10734,
Dec-03,10389,
Jan-04,10275,
Feb-04,10108,
Mar-04,10942,
Apr-04,10108,
May-04,11046,
Jun-04,10887,
Jul-04,10449,
Aug-04,11181,
Sep-04,10978,
Oct-04,11392,
Nov-04,10637,
Dec-04,11411,
Jan-05,11157,
Feb-05,10874,
Mar-05,10437,
Apr-05,10679,
May-05,10893,
Jun-05,11175,
Jul-05,10558,
Aug-05,10746,
Sep-05,10740,
