Date,Storage (af),
Oct-94,34758,
Nov-94,23861,
Dec-94,10594,
Jan-95,39741,
Feb-95,40664,
Mar-95,37211,
Apr-95,50698,
May-95,35765,
Jun-95,45384,
Jul-95,32285,
Aug-95,45697,
Sep-95,27349,
Oct-95,35208,
Nov-95,22918,
Dec-95,43989,
Jan-96,30478,
Feb-96,44298,
Mar-96,34896,
Apr-96,34966,
May-96,34483,
Jun-96,29385,
Jul-96,36714,
Aug-96,51108,
Sep-96,15771,
Oct-96,15914,
Nov-96,32685,
Dec-96,33970,
Jan-97,39778,
Feb-97,32954,
Mar-97,31556,
Apr-97,27319,
May-97,39120,
Jun-97,27875,
Jul-97,43951,
Aug-97,27782,
Sep-97,30348,
Oct-97,35451,
Nov-97,25087,
Dec-97,36891,
Jan-98,37603,
Feb-98,33867,
Mar-98,36962,
Apr-98,43605,
May-98,34586,
Jun-98,34038,
Jul-98,43147,
Aug-98,39266,
Sep-98,33970,
Oct-98,36045,
Nov-98,32451,
Dec-98,29131,
Jan-99,28688,
Feb-99,25532,
Mar-99,42501,
Apr-99,42576,
May-99,26433,
Jun-99,28062,
Jul-99,30478,
Aug-99,29823,
Sep-99,27012,
Oct-99,39047,
Nov-99,36224,
Dec-99,49315,
Jan-00,30025,
Feb-00,39815,
Mar-00,45658,
Apr-00,20306,
May-00,39485,
Jun-00,38938,
Jul-00,25621,
Aug-00,40961,
Sep-00,31655,
Oct-00,40627,
Nov-00,37818,
Dec-00,24441,
Jan-01,26767,
Feb-01,27257,
Mar-01,28720,
Apr-01,23717,
May-01,33562,
Jun-01,33629,
Jul-01,29865,
Aug-01,38938,
Sep-01,21799,
Oct-01,18239,
Nov-01,20279,
Dec-01,39302,
Jan-02,43529,
Feb-02,28093,
Mar-02,31064,
Apr-02,27504,
May-02,35277,
Jun-02,30640,
Jul-02,33663,
Aug-02,43223,
Sep-02,26312,
Oct-02,27720,
Nov-02,20119,
Dec-02,27042,
Jan-03,34552,
Feb-03,32185,
Mar-03,36361,
Apr-03,44491,
May-03,46602,
Jun-03,30413,
Jul-03,33562,
Aug-03,38034,
Sep-03,--,
Oct-03,19747,
Nov-03,29004,
Dec-03,24383,r
Jan-04,46326,r
Feb-04,36432,r
Mar-04,49073,
Apr-04,47353,
May-04,28941,
Jun-04,34690,
Jul-04,24704,
Aug-04,37890,
Sep-04,36291,
Oct-04,26011,
Nov-04,35660,
Dec-04,50535,
Jan-05,43836,
Feb-05,32719,
Mar-05,41634,
Apr-05,46997,
May-05,33731,
Jun-05,35975,
Jul-05,38901,
Aug-05,47711,
Sep-05,45815,
Oct-05,31064,
Nov-05,39448,
Dec-05,31227,
Jan-06,27042,
Feb-06,24295,
Mar-06,44491,
Apr-06,47116,
May-06,46247,
Jun-06,39668,
Jul-06,47990,
Aug-06,49680,
Sep-06,41972,
Oct-06,25235,
Nov-06,38142,
Dec-06,24880,
Jan-07,48912,
Feb-07,35975,
Mar-07,41671,
Apr-07,48671,
May-07,27196,
Jun-07,42842,
Jul-07,38539,
Aug-07,31622,
Sep-07,33731,
Oct-07,29833,
Nov-07,46878,
Dec-07,30348,
Jan-08,28751,
Feb-08,44491,
Mar-08,41446,
Apr-08,44646,
May-08,25921,
Jun-08,43490,
Jul-08,40036,
Aug-08,47910,
Sep-08,37104,
Oct-08,30998,
Nov-08,34346,
Dec-08,36115,
Jan-09,37282,
Feb-09,43797,
Mar-09,33697,
Apr-09,46129,
May-09,25621,
Jun-09,34793,
Jul-09,43567,
Aug-09,45541,
Sep-09,45893,
Oct-09,28437,
Nov-09,31556,
Dec-09,45776,
Jan-10,36326,
Feb-10,36643,
Mar-10,48912,
Apr-10,45854,
May-10,43337,
Jun-10,41148,
Jul-10,43951,
Aug-10,42690,
Sep-10,49842,
Oct-10,39011,
Nov-10,51726,
Dec-10,42501,
Jan-11,47234,
Feb-11,43912,
Mar-11,38070,
Apr-11,46286,
May-11,44028,
Jun-11,43261,
Jul-11,46878,
Aug-11,40664,
Sep-11,32085,
Oct-11,45619,
Nov-11,37747,
Dec-11,44956,
Jan-12,41073,
Feb-12,29131,
Mar-12,45815,
Apr-12,42538,
May-12,30770,
Jun-12,35556,
Jul-12,43108,
Aug-12,47631,
Sep-12,45736,
Oct-12,41559,
Nov-12,36679,
Dec-12,36256,
Jan-13,37140,
Feb-13,22946,
Mar-13,40998,
Apr-13,42463,
May-13,43759,
Jun-13,43490,
Jul-13,48350,
Aug-13,47353,
Sep-13,46090,
Oct-13,--,
Nov-13,41484,
Dec-13,48470,
Jan-14,54991,
Feb-14,50249,
Mar-14,50739,
Apr-14,46129,
May-14,48470,
Jun-14,45112,
Jul-14,52223,
Aug-14,52472,
Sep-14,51108,
Oct-14,52306,
Nov-14,51644,
Dec-14,50086,
Jan-15,47195,
Feb-15,45502,
Mar-15,49842,
Apr-15,49356,
May-15,49073,
Jun-15,48510,
Jul-15,51273,
Aug-15,44143,
Sep-15,52555,
Oct-15,52472,
Nov-15,47830,
Dec-15,49275,
Jan-16,41972,
Feb-16,34106,
Mar-16,48550,
Apr-16,46365,
May-16,51520,
Jun-16,51974,
Jul-16,46602,
Aug-16,53306,
Sep-16,52597,
Oct-16,32118,
Nov-16,39011,
Dec-16,42160,
Jan-17,40146,
Feb-17,42842,
