"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00046521","OROVILLE, CA US","39.5177","-121.553","52.1","1991-01-29",,,,,"0.00","P,,0,0700","0.0","P,,0","0.0","P,,0","60",",,0","28",",,0","32",",,0,0700",,,,,,,,
"USC00046521","OROVILLE, CA US","39.5177","-121.553","52.1","1991-01-30",,,,,"0.00","P,,0,0700","0.0","P,,0","0.0","P,,0","60",",,0","27",",,0","34",",,0,0700",,,,,,,,
"USC00046521","OROVILLE, CA US","39.5177","-121.553","52.1","1991-01-31",,,,,"0.00","P,,0,0700","0.0","P,,0","0.0","P,,0","61",",,0","33",",,0","40",",,0,0700",,,,,,,,
"USC00046521","OROVILLE, CA US","39.5177","-121.553","52.1","1991-02-01",,,,,"0.00","P,,0,0700","0.0","P,,0","0.0",",,0","64",",,0","35",",,0","36",",,0,0700",,,,,,,,
"USC00046521","OROVILLE, CA US","39.5177","-121.553","52.1","1991-02-02",,,,,"1.00",",,0,0700","0.0","P,,0","0.0","P,,0","65",",,0","33",",,0","48",",,0,0700",,,,,,,,
"USC00046521","OROVILLE, CA US","39.5177","-121.553","52.1","1991-02-03",,,,,"0.55",",,0,0700","0.0","P,,0","0.0","P,,0","63",",,0","38",",,0","52",",,0,0700",,,,,,,,
"USC00046521","OROVILLE, CA US","39.5177","-121.553","52.1","1991-02-04",,,,,"0.00","P,,0,0700","0.0","P,,0","0.0","P,,0","58",",,0","40",",,0","42",",,0,0700",,,,,,,,
"USC00046521","OROVILLE, CA US","39.5177","-121.553","52.1","1991-02-05",,,,,"1.01",",,0,0700","0.0","P,,0","0.0","P,,0","64",",,0","39",",,0","50",",,0,0700",,,,,,,,
"USC00046521","OROVILLE, CA US","39.5177","-121.553","52.1","1991-02-06",,,,,"0.07",",,0,0700","0.0","P,,0","0.0","P,,0","62",",,0","39",",,0","41",",,0,0700",,,,,,,,
"USC00046521","OROVILLE, CA US","39.5177","-121.553","52.1","1991-02-07",,,,,"0.00","P,,0,0700","0.0","P,,0","0.0","P,,0","66",",,0","38",",,0","40",",,0,0700",,,,,,,,
"USC00046521","OROVILLE, CA US","39.5177","-121.553","52.1","1991-02-08",,,,,"0.00","P,,0,0700","0.0","P,,0","0.0","P,,0","66",",,0","38",",,0","40",",,0,0700",,,,,,,,
"USC00046521","OROVILLE, CA US","39.5177","-121.553","52.1","1991-02-09",,,,,"0.00","P,,0,0700","0.0","P,,0","0.0","P,,0","65",",,0","36",",,0","40",",,0,0700",,,,,,,,
"USC00046521","OROVILLE, CA US","39.5177","-121.553","52.1","1991-02-10",,,,,"0.00","P,,0,0700","0.0","P,,0","0.0","P,,0","70",",,0","38",",,0","48",",,0,0700",,,,,,,,
"USC00046521","OROVILLE, CA US","39.5177","-121.553","52.1","1991-02-11",,,,,"0.00","P,,0,0700","0.0","P,,0","0.0","P,,0","69",",,0","36",",,0","47",",,0,0700",,,,,,,,
"USC00046521","OROVILLE, CA US","39.5177","-121.553","52.1","1991-02-12",,,,,"0.00","P,,0,0700","0.0","P,,0","0.0","P,,0","67",",,0","36",",,0","46",",,0,0700",,,,,,,,
"USC00046521","OROVILLE, CA US","39.5177","-121.553","52.1","1991-02-13",,,,,"0.00","P,,0,0700","0.0","P,,0","0.0","P,,0","74",",,0","42",",,0","50",",,0,0700",,,,,,,,
"USC00046521","OROVILLE, CA US","39.5177","-121.553","52.1","1991-02-14",,,,,"0.00","P,,0,0700","0.0","P,,0","0.0","P,,0","74",",,0","47",",,0","49",",,0,0700",,,,,,,,
"USC00046521","OROVILLE, CA US","39.5177","-121.553","52.1","1991-02-15",,,,,"0.00","P,,0,0700","0.0","P,,0","0.0","P,,0","75",",,0","46",",,0","47",",,0,0700",,,,,,,,
"USC00046521","OROVILLE, CA US","39.5177","-121.553","52.1","1991-02-16",,,,,"0.00","P,,0,0700","0.0","P,,0","0.0","P,,0","68",",,0","45",",,0","48",",,0,0700",,,,,,,,
"USC00046521","OROVILLE, CA US","39.5177","-121.553","52.1","1991-02-17",,,,,"0.00","P,,0,0700","0.0","P,,0","0.0","P,,0","64",",,0","48",",,0","52",",,0,0700",,,,,,,,
