Date,P,PET,AET
1990-01-01,47.614230914,117.82200378,42.556935139247926
1990-02-01,93.7474357409,140.4162135,73.69149755166954
1990-03-01,4.15820511985,185.895869524,4.156109946970727
1990-04-01,15.332435941099998,236.45739589599998,15.270402052451374
1990-05-01,24.0980770527,279.998774406,23.93025589905799
1990-06-01,0.01576923056,349.392219543,0.015769230526891078
1990-07-01,0.00333333325883,358.165332696,0.003333333258532405
1990-08-01,2.5397435884,305.894744286,2.5395646703120227
1990-09-01,0.00346153833641,272.479521336,0.0034615383358341696
1990-10-01,0.00448717938688,222.54749161200002,0.004487179384999706
1990-11-01,10.34589743,144.34321917,10.295130662972085
1990-12-01,0.7642307650200001,105.15399874200001,0.7641894681283984
1991-01-01,42.7716668447,109.531004881,38.46128750075887
1991-02-01,31.127948809899998,165.961893522,30.2099679219007
1991-03-01,240.970897381,160.734441317,126.15041723163708
1991-04-01,0.482820516763,241.149577605,0.48281852587341
1991-05-01,0.0120512820207,273.28295428900003,0.012051281996544552
1991-06-01,0.0498717949033,281.834317916,0.04987179329392145
1991-07-01,2.4594871833500003,306.541078812,2.459325333984734
1991-08-01,0.380384613569,300.214966016,0.3803839849365638
1991-09-01,0.7179487141519999,265.032049913,0.7179432987660741
1991-10-01,10.7705128499,209.81535495900002,10.74279984833314
1991-11-01,0.25589743483399996,147.947566693,0.2558966471221245
1991-12-01,100.27961496200001,99.9379025973,66.40301437038903
1992-01-01,64.1601281777,117.008939596,53.555707570186925
1992-02-01,269.526795412,138.255602812,117.0991487394321
1992-03-01,188.2569226,159.45011315,114.22590802527094
1992-04-01,7.6324359148,259.431677403,7.6258327283439495
1992-05-01,2.57038461434,264.08867567,2.5701361422346083
1992-06-01,0.0275641022107,308.07527102,0.0275641019832751
1992-07-01,6.95551281709,326.764755249,6.952335555073362
1992-08-01,0.0,338.096292349,0
1992-09-01,0.0,285.383801583,0
1992-10-01,20.866794962100002,196.506023896,20.65045367415841
1992-11-01,7.658589715469999,139.991485302,7.636289330405885
1992-12-01,138.341025524,96.17964573399999,74.41741820216193
1993-01-01,337.942181123,95.5794528081,89.53415719299045
1993-02-01,236.52205032,125.67675751899999,105.50394639005478
1993-03-01,78.3524361146,197.380847051,70.25465955588277
1993-04-01,0.0012820513011600001,264.473011897,0.0012820513011289464
1993-05-01,0.0411538461892,289.148849292,0.04115384533001869
1993-06-01,22.791153712199996,317.456898225,22.67896696263344
1993-07-01,0.00205128205319,288.604459518,0.0020512820530831865
1993-08-01,0.0,304.83473479400004,0
1993-09-01,0.00897435906033,272.380090567,0.00897435905028835
1993-10-01,7.12333332518,200.490673163,7.114403228306883
1993-11-01,10.7142307881,135.573410719,10.650828360063784
1993-12-01,37.3430769749,106.529286018,34.16435266502985
1994-01-01,10.9961538193,126.639840346,10.918273593462409
1994-02-01,110.230256301,134.670195849,80.19279311750343
1994-03-01,49.04371806899999,192.464561854,46.57488883991607
1994-04-01,19.7482050871,234.838405511,19.616622092930534
1994-05-01,7.924487172030001,246.426688952,7.91631968864933
1994-06-01,0.119358975822,341.860071427,0.11935896082955881
1994-07-01,0.0,322.756941967,0
1994-08-01,0.0,338.52863253099997,0
1994-09-01,0.012564102498200001,269.366952945,0.012564102470026223
1994-10-01,14.4207692177,190.327252315,14.34204878406488
1994-11-01,19.0734615693,121.278457837,18.66400299232496
1994-12-01,34.066153673,101.994381733,31.38178016264614
1995-01-01,410.76064046199997,87.3017484225,83.81572618439276
1995-02-01,47.055256379,153.38118734100001,43.82508956487116
1995-03-01,195.71166640099997,172.370622097,121.38936838734845
1995-04-01,21.5796153607,240.338061602,21.41671814573064
1995-05-01,11.1392307954,234.299199813,11.114545238899783
1995-06-01,15.6433333372,299.605690198,15.601730282869907
1995-07-01,0.406666668896,350.426636329,0.40666610504817785
1995-08-01,0.0,342.408387404,0
1995-09-01,0.0479487176889,276.994134365,0.047948716208181405
1995-10-01,0.00448717950628,205.16141705599998,0.0044871795040675195
1995-11-01,1.59871795965,141.400468582,1.5985097574031006
1995-12-01,41.0057692161,102.48722184,36.716269772426024
1996-01-01,30.9484617527,112.298516885,29.170025050532782
1996-02-01,170.87076979399998,132.920238299,98.61989197583895
1996-03-01,58.25435887850001,185.912188408,54.11472227994353
1996-04-01,17.586666547300002,269.88636290700003,17.51483114967412
1996-05-01,1.1282051253899998,292.67366243,1.1281879135118111
1996-06-01,0.0019230769278499999,323.93721399599997,0.0019230769277801404
1996-07-01,0.00192307699949,346.33941728599996,0.0019230769994288857
1996-08-01,0.0,342.570947305,0
1996-09-01,0.0,259.715237544,0
1996-10-01,29.7535898502,191.702796349,29.13003903557733
1996-11-01,56.0475641886,132.538936615,49.67122440440534
1996-12-01,146.91717930299998,98.7937516433,77.32548779398353
1997-01-01,150.978076837,94.9277279194,75.94974008113584
1997-02-01,5.24320511061,150.454960065,5.236876818638381
1997-03-01,0.0191025641054,214.98358017400002,0.019102563949952113
1997-04-01,0.0,246.17762149900003,0
1997-05-01,0.0,308.303368397,0
1997-06-01,0.1402564097,280.84967804,0.14025637366231683
1997-07-01,0.0030769230081500003,313.758450826,0.00307692300784499
1997-08-01,0.0455128208567,319.400593097,0.04551281990428502
1997-09-01,10.3426923148,276.60047130099997,10.328359595270529
1997-10-01,0.057692308432599995,192.5374973,0.05769230309496179
1997-11-01,52.055769015600006,132.718724275,46.773992186947034
1997-12-01,123.349102607,97.3430806673,71.8111306894744
1998-01-01,88.1267947173,104.52936554,63.309501329845936
1998-02-01,411.98692282699994,116.846430265,109.42342888504031
1998-03-01,100.665641002,180.117926769,83.58976301271126
1998-04-01,51.2852563614,215.477802179,48.98832303539469
1998-05-01,87.7632048191,228.064091805,79.11653945054758
1998-06-01,2.92923075978,260.971324627,2.928854763270334
1998-07-01,0.0,327.060619648,0
1998-08-01,0.0288461539656,331.928823813,0.02884615374105929
1998-09-01,2.8892307706099998,231.829344334,2.888774147457738
1998-10-01,0.6647435917450001,188.741103343,0.6647351231694367
1998-11-01,35.0042308416,129.296721043,33.05198789317856
1998-12-01,15.286794852,102.944851704,14.991286721864219
1999-01-01,35.1138461431,112.549393091,32.63622140032132
1999-02-01,27.251923120900003,134.097306276,26.325327192184176
1999-03-01,48.7483333441,163.056443434,45.54099967322246
1999-04-01,62.0494873829,210.549983685,58.06270237688907
1999-05-01,0.7176923028030001,243.592614785,0.7176859006504351
1999-06-01,15.8992307675,291.999781291,15.853358158278857
1999-07-01,1.06974358544,324.60932805,1.0697316510650248
1999-08-01,0.0,308.055961805,0
1999-09-01,0.33820512821599996,240.853852688,0.33820444183613874
1999-10-01,0.0,226.166144542,0
1999-11-01,10.488974387799999,135.848387889,10.429609736704723
1999-12-01,0.025256410814200003,113.147343367,0.02525640951735992
2000-01-01,26.8161538687,106.21264521299999,25.487321122571455
2000-02-01,183.58435919299998,124.14402673200001,96.98193883007029
2000-03-01,64.40102557649999,176.53493597599999,58.56283014187316
2000-04-01,54.4603847846,241.45641874700001,52.23786073707646
2000-05-01,0.7473076953769999,280.86277242799997,0.7473022568967428
2000-06-01,0.0026923076560100003,311.995940771,0.002692307655803352
2000-07-01,0.0,320.484082931,0
2000-08-01,1.41230769599,313.406170772,1.4122782713324635
2000-09-01,3.8907692302499997,261.77055202400004,3.8898968125886353
2000-10-01,32.5497436034,163.936634651,31.487611030007834
2000-11-01,5.1532051329,128.443278875,5.145007667927768
2000-12-01,0.0302564099144,110.94715568299999,0.030256407595628636
2001-01-01,144.256922404,102.524303338,78.70744733176852
2001-02-01,208.07718012900003,119.096810365,97.99483340324485
2001-03-01,62.375384501899994,167.505315927,56.53596231583881
2001-04-01,36.8187178832,208.792819879,35.846460873731715
2001-05-01,0.130512822252,277.476824051,0.13051279250414252
2001-06-01,0.00551282060452,311.754356776,0.005512820602743158
2001-07-01,0.265128206342,306.761575552,0.2651280023848176
2001-08-01,0.023589743038599998,305.915313329,0.02358974289402511
2001-09-01,0.0,256.866255344,0
2001-10-01,0.9925641083660001,188.03760548099999,0.9925357567714357
2001-11-01,50.9434616871,121.62398489899999,45.23047192548156
2001-12-01,37.1278204796,92.6594572801,33.235297364045
2002-01-01,32.892692248,105.596366589,30.57776009764958
2002-02-01,6.69564102552,160.709506108,6.6841740787691215
2002-03-01,8.403205113530001,181.83232175400002,8.385584099149353
2002-04-01,1.9764102582700003,215.02750475,1.9762397793211088
2002-05-01,3.1108974512299996,259.06933808900004,3.1104408058821544
2002-06-01,0.19423076830400002,295.402929844,0.19423068180915212
2002-07-01,0.0,318.854284824,0
2002-08-01,0.07730769220360001,286.354205009,0.07730768639728879
2002-09-01,1.48461537956,271.54726136,1.4845698956998854
2002-10-01,1.4715384535499998,160.515084682,1.4714121773824274
2002-11-01,56.2194873859,138.57969401399998,50.21295490395163
2002-12-01,93.4143589215,94.477045695,62.31487191322851
2003-01-01,0.058333332125000005,125.333943783,0.05833331910638656
2003-02-01,150.185256958,135.303267454,94.319430113222
2003-03-01,89.3614104833,187.11222409,77.19902510853844
2003-04-01,34.5611539743,213.00112543400002,33.77588991760011
2003-05-01,36.589615283899995,265.459803459,35.972796331544764
2003-06-01,1.21346152724,253.76109822599997,1.213433066738255
2003-07-01,0.51371794982,332.928299733,0.5137166910635202
2003-08-01,0.00141025640261,325.170909197,0.001410256402582658
2003-09-01,0.0,262.837957529,0
2003-10-01,0.10038461612600001,209.93988526200002,0.10038459248000134
2003-11-01,21.939871714699997,119.479683509,21.31688251021732
2003-12-01,45.0365384664,96.7993600307,39.13488696599757
2004-01-01,14.639615425699999,107.297771649,14.39741481561953
2004-02-01,149.826281523,124.6676982,89.9861512354221
2004-03-01,20.4382051688,204.988724537,20.250045649573124
2004-04-01,3.5450000075199997,237.93082701900002,3.5442012948800232
2004-05-01,0.0008974359012569999,286.922849019,0.0008974359012479501
2004-06-01,0.00179487180251,279.970968589,0.001794871802433962
2004-07-01,0.0,325.494583521,0
2004-08-01,0.0,289.812273857,0
2004-09-01,0.00012820512533999999,268.47107227,0.00012820512533996987
2004-10-01,142.208845677,166.574160551,101.60567830384724
